English	French
i want to talk to you about last night	je veux te parler de la nuit dernière
i want to teach history when i grow up	je veux enseigner l histoire lorsque je serai grand
how much do you want	combien en voulez vous
you have to ask me for it	tu dois me le demander
do you see that ship near the island	vois tu ce bateau près de l île
you will be better off buying a new one than trying to fix it	tu ferais mieux d en acheter une neuve plutôt que d essayer de la réparer
do not approach the dog	n approche pas du chien
this is going to get messy	ça va être le bordel
both of us began to smile almost at the same time	nous avons tous les deux commencé à sourire presque en même temps
drinks are on me	les boissons sont pour moi
his room is twice as large as mine	sa chambre est deux fois plus grande que la mienne
she adores her older brother	elle adore son frère ainé
they could do with our help	ils pourraient user de notre aide
i owe you a big one for getting me out of the jam	je te dois une fière chandelle de m avoir sorti de ce pétrin
maybe you will succeed	tu réussiras peut être
when did you visit your friends	quand avez vous rendu visite à vos amis
strictly speaking his answer is not correct	stricto sensu sa réponse ne est pas correcte
did you order any food	avez vous commandé la moindre nourriture
what are you all doing here	qu êtes vous tous en train de faire ici
tom has a girlfriend	tom a une copine
she tied him to the chair	elle l a attaché à la chaise
fill the jars with water	emplissez d eau les bocaux
i do it because i enjoy it	je le fais car j y prends plaisir
nobody s forcing you to stay	personne ne te force à rester
i am sure mom will get mad	je suis sûr que maman se mettra en colère
is this book yours	ce livre est il à toi
police cordoned off the crime scene	la police délimita la scène de crime
they walked upstairs	ils montèrent des escaliers
i am surprised no one else heard the gunshots	je suis surprise que personne d autre n ait entendu les coups de feu
my shoulder hurts	mon épaule me fait mal
he knows every inch of this area	il connaît cet endroit comme sa poche
he was raging mad	il était fou de rage
you must do it at once	tu dois le faire immédiatement
it is about the size of an egg	ce est à peu près de la taille d un œuf
you do not look very good	tu n as pas l air très bonne
choose any of these pens	choisis n importe lequel de ces stylos
do not make trouble	ne vous attirez pas d ennuis
you need to be more careful from now on	vous devez être plus prudentes désormais
should i wait for you here	devrais je t attendre ici
the sky was clear when i left home	le ciel était clair lorsque je quittai mon domicile
i forgot his address	je ai oublié son adresse
it was such a boring speech that i fell asleep	c était un discours si ennuyeux que je me suis endormie
she advised him to take a long holiday	elle lui a conseillé de prendre de longues vacances
you can rely on his proven ability	tu peux te fier à son expérience établie
i have got some stuff to do here	je ai des trucs à faire ici
i got a long letter from my folks	je ai reçu une longue lettre de mes parents
where s the toilet	où se trouvent les toilettes
the weather remained rainy	le temps est demeuré pluvieux
there s no point in asking me for money	ça ne sert à rien de me demander de l argent
my cat got stuck up a tree	mon chat est resté coincé en haut d un arbre
i can get us there more quickly	je peux nous y faire parvenir plus rapidement
it was nice of you to come all this way to see me	c était sympa de ta part de faire tout ce chemin pour me voir
this is one of the things he always says	ce est l une des choses qu il dit toujours
they will survey the desert island	ils vont inspecter cette île déserte
supper is a simple meal	le souper est un repas simple
i have to leave now	je dois partir maintenant
i would not do that if i were you	je ne le ferais pas si j étais vous
you have to pay taxes	tu dois payer des impôts
i just want a vacation	je veux simplement des vacances
he talks as if he were rich	il parle comme s il était riche
get in the boat	grimpez dans le bateau
it is an ambitious project	ce est un projet ambitieux
fresh food is wonderful	la nourriture fraîche est merveilleuse
they are as strong as us	ils sont de notre force
have you ever heard such a story	as tu déjà entendu pareille histoire
i woke up	je me suis réveillé
tom says he will be a bit late	tom dit qu il sera un peu en retard
do you have any one dollar bills	est ce que tu aurais un billet d un dollar
it was hot so i turned on the fan	il faisait chaud donc je ai allumé le ventilateur
when did you get married	quand t es tu marié
i never liked that one anyway	je n ai jamais aimé celui là de toutes façons
are you hurt anywhere	es tu blessé où que ce soit
i do not need to tell you anything	je n ai pas besoin de vous dire quoi que ce soit
he is old	il est vieux
we cannot be sure can we	nous ne pouvons en être certains si
everyone s been evacuated	tout le monde a été évacué
we all need to work together	il nous faut tous travailler ensemble
people do not say that anymore	les gens ne disent plus cela
i cannot believe tom is still single	je n arrive pas à croire que tom est encore célibataire
i go to any party i am invited to	je vais à n importe quelle fête où je suis invitée
i had fun	je me suis amusé
i was totally unprepared for this	je n étais absolument pas préparé à ceci
i believe it to be true	je crois que ce est vrai
i want to ask you one simple question	je veux vous poser une simple question
cheese is easy to cut with a knife	le fromage est facile à couper avec un couteau
is that correct	est ce juste
now that i have enough money i can get that camera	maintenant que je ai suffisamment d argent je peux m acheter cet appareil photo
the young guy wants to drink	le jeune homme veut boire
what a nice tie	quelle chouette cravate
it is already done	ce est déjà fait
how s your father	comment va ton père
she gave him the brush off	elle l envoya balader
quit behaving like a kid	cesse de te conduire comme une enfant
i do not even know who has stolen what	j ignore même qui a volé quoi
i am in no mood to argue politics right now	je ne suis pas d humeur à débattre de politique là maintenant
i will call you back later	je vous rappellerai plus tard
how can i lose	comment puis je perdre
they all looked happy	elles avaient l air toutes contentes
i have got something better	je ai quelque chose de meilleur
i d like something to eat	je voudrais manger quelque chose
i want you to stay with me	je veux que tu restes avec moi
tom managed a small bar near boston for quite a long time	tom a géré un petit bar près de boston pendant un certain temps
that young lady is a nurse	cette jeune dame est infirmière
got it	je ai pigé
i had to be sure	je devais être sûre
it was just a matter of time	ce n était qu une question de temps
he ran outside naked	il courut dehors nu
any paper will do	n importe quel papier conviendra parfaitement
she urged him to consider the request	elle l a exhorté à réfléchir à la demande
i think it is time for me to ask for her help	je pense qu il est temps pour moi de lui demander son aide
i am afraid i am a bit out of shape	je crains d être un peu défaite
there s no telling what he will do next	personne ne sait ce qu il fera ensuite
do not worry he knows what he is doing	ne t en fais pas il sait ce qu il fait
tom ate what little food he had left	tom manga le peu de nourriture qu il lui restait
tom told a joke but nobody laughed	tom a raconté une blague mais personne n a ri
i really do not get you	je ne vous saisis vraiment pas
he does not know me	il ne me connaît pas
tom hated his mother	tom détestait sa mère
do not you like baseball	n aimez vous pas le baseball
no student went to the party	aucun étudiant ne est venu à la fête
she cooked her husband an apple pie	elle a cuisiné une tarte aux pommes pour son mari
you can go to the station by bus	tu peux te rendre à la gare par le bus
rather than cutting down on cigarettes why do not you just give them up	plutôt que de réduire la cigarette pourquoi ne la laisses tu pas simplement tomber
i cannot go back without you	je ne peux pas y retourner sans vous
it is too little too late	ce est trop peu trop tard
it was childish of him to behave like that	c était très immature de sa part de se comporter ainsi
the dog is dead	le chien est mort
i changed my address last month	je ai changé d adresse le mois dernier
it will not be long before he recovers from his illness	il devrait bientôt guérir de sa maladie
we are retiring	nous partons à la retraite
i d like a cup of coffee please	j aimerais une tasse de café je te prie
i am off today	je ne suis pas en service aujourd hui
i do not want to be tied to one company	je ne veux pas être lié à une seule société
i think i know why tom is not here	je pense que je sais pourquoi tom ne est pas ici
my bag was stolen	mon sac fut dérobé
it is really time for us to go	il est vraiment temps pour nous d y aller
you are talkative	vous êtes bavarde
help me lift the package	aide moi à soulever ce paquet
i am not sure what i was thinking	je ne suis pas certaine de ce que je pensais
he received a large sum of money in compensation for his injury	il reçut une importante somme d argent en compensation de sa blessure
how often do you wash your sheets	à quelle fréquence lavez vous vos draps
she was wearing a strange hat	elle portait un chapeau étrange
i would rather go out than stay indoors	je préférerais sortir plutôt que de rester à l intérieur
i have already fed the baby	je ai déjà nourri le bébé
i am sorry but it is past your bedtime	je suis désolé mais l heure d aller te coucher est passée
you cannot do both at the same time	tu ne peux pas faire les deux en même temps
who invented this machine	qui a inventé cette machine
i need advice	je ai besoin de conseils
i figured it was worth a try	je ai songé que ça valait le coup d essayer
i will probably get up early tomorrow	je vais probablement me lever tôt demain
i left my briefcase in the bus	je ai laissé ma mallette dans le bus
i will support him	je l appuierai
i just love that	j adore ça tout simplement
i saw him just now	je viens juste de le voir
at your age i would think so too	à ton âge je le penserais aussi
she explained to him why she was late	elle lui expliqua pourquoi elle était en retard
tell me which one to choose	dites moi laquelle choisir
i am interested in asian history	je suis intéressé par l histoire de l asie
the assignment is due two weeks from today	le devoir est pour dans deux semaines aujourd hui
can you speak another language	parles tu encore une autre langue
a fish leaped out of the water	un poisson a sauté hors de l eau
he demanded that i should pay the money back at once	il demanda que je le rembourse tout de suite
do not i have some say in this	n ai je pas mon mot à dire là dedans
you reek of alcohol	vous puez l alcool
the last part of the trip was across the desert	la dernière partie de l excursion fut un parcours à travers le désert
i was really mad at tom	j étais vraiment en colère contre tom
what do you want to study	que veux tu étudier
i shook my head and said no	je secouai la tête et dis non
i painted the fence green	je ai peint la barrière en vert
did tom tell you where the party is	tom t a t il dit où la soirée a lieu
he is busy preparing for the trip	il est occupé à préparer son voyage
it made me very happy	ça m a rendue très heureuse
we will win the battle	nous gagnerons la bataille
unfortunately i do not have time today	malheureusement je ne dispose pas du temps aujourd hui
the weather is getting worse	le temps empire
my brother is now in australia	mon frère est maintenant en australie
i do not know what s going to happen to you	je ne sais pas ce qui va t arriver
if you do not mind i d like to be alone for a while	si vous n y voyez pas d inconvénient j aimerais être seul un moment
go and see the doctor	va voir le médecin
he left me the keys	il m a laissé les clefs
as far as i know she has not left yet	pour autant que je sache elle ne est pas encore partie
we learn a lot from experience	nous apprenons beaucoup par expérience
i saw him cross the road	je le vis traverser la route
he used his umbrella as a weapon	il a utilisé son parapluie comme arme
you must not give up hope	vous ne devez pas perdre espoir
i feel blessed	je me sens bénit
i cannot believe your mom let you go	je n arrive pas à croire que votre mère vous aie laissé partir
this amount includes tax	cette somme inclut les taxes
you are all crazy	vous êtes toutes folles
it was in tokyo that i first met her father	ce est à tokyo que je ai rencontré son père pour la première fois
tom may not come to our party tonight	il se peut que tom ne vienne pas à la fête ce soir
she betrayed you	elle vous a trahie
i could not lie to you	je ne pourrais pas vous mentir
i am just not sure	je n en suis simplement pas sûr
may i have the key	pourrais je avoir la clé
by chance i found a hot spring	par chance je suis tombé sur une source chaude
which hat do you want to buy	quel couvre chef veux tu acheter
i did not break it	je ne l ai pas enfreint
you gotta get more organized	il vous faut être plus organisé
it is bad for the heart	ce est mauvais pour le cœur
i have never lied to you	je ne t ai jamais menti
you overestimate him	tu le surestimes
have you seen the uncensored version	as tu vu la version non approuvée
these politicians are corrupt	ces politiciennes sont corrompues
i have trouble falling asleep because i always have a lot on my mind	je ai des difficultés à trouver le sommeil parce que je ai toujours beaucoup à l esprit
tom s book was translated into french	le livre de tom a été traduit en français
this is kind of boring	ce est plutôt ennuyeux
lock the doors	verrouille les portes
can you get the door to shut	peux tu faire en sorte de fermer la porte
the house gets painted every five years	on peint la maison tous les cinq ans
the north won the battle of shiloh	ce est le nord qui a vaincu lors de la bataille de shiloh
many architectural monstrosities are seen in tokyo	de nombreuses monstruosités architecturales peuvent être vues à tokyo
how did you get hurt	comment t es tu blessée
keep mum about this plan	pas un mot au sujet de ce plan
no one knew who did it	personne ne savait qui l avait commis
stop deluding yourself	arrête de te mentir à toi même
tomorrow i am going to study at the library	demain je vais étudier à la bibliothèque
i had fun here	je me suis amusé ici
i do not trust him any longer	je ne lui fais plus confiance
i do not own a television	je ne possède pas de téléviseur
you do not have the right	vous n en avez pas le droit
i am sorry to have kept you waiting	je suis désolé de vous avoir fait attendre
you never cease to surprise me	tu ne cesses jamais de me surprendre
he said he would write to me but he has not	il avait dit qu il m écrirait mais il n en fut rien
tom did not see it	tom ne l a pas vu
check out what i have been up to	regarde ce que je ai concocté
they know our plans	elles ont connaissance de nos projets
i had bought it the week before	je l avais acheté la semaine précédente
what do you have planned for the afternoon	qu as tu prévu pour l après midi
would you teach me	me l enseigneriez vous
i am planning to go to europe next week	je prévois de me rendre en europe la semaine prochaine
they are all college students	ce sont tous des étudiants de la fac
these gloves kept her hands warm	ces gants gardaient ses mains au chaud
i cannot find the right man for me	je ne parviens pas à trouver l homme qu il me faut
tom waited but nobody came	tom a attendu mais personne ne est venu
ladies first	les femmes d abord
he pinched and scraped for many years to save money	il se serra la ceinture pendant de nombreuses années afin d économiser de l argent
he did not want to talk about it further	il n a pas voulu en parler davantage
it did not even cross my mind	ça ne m a même pas traversé l esprit
i had my hat blown off	mon chapeau s est envolé
can you call him	pouvez vous l appeler
she intended to go shopping	elle avait l intention d aller faire des emplettes
they all changed	elles ont toutes changé
did i interrupt anything	je n a rien interrompu si
my bag is very heavy	mon sac est très lourd
i remember seeing you last year	je me rappelle t avoir vu l année passée
i have some very bad news	je ai de très mauvaises nouvelles
it seems that he knows the truth	il semble qu il connaisse la vérité
we all need to learn to deal with this situation	il nous faut tous apprendre à faire face à cette situation
whose bicycle is this	à qui est cette bicyclette
might i ask your address	puis je vous demander votre adresse
that was really nice	c était vraiment sympa
tom called to say that he could not attend today s meeting	tom a appelé pour dire qu il ne pourrait pas assister à la réunion d aujourd hui
do you believe in fairies	croyez vous aux fées
tom is confused and scared	tom est confus et effrayé
it is funny	ce est marrant
he is a nice man except that he talks too much	ce est un chic type sauf qu il parle trop
the car s tires were caked with dried mud	les pneus de la voiture étaient couverts de boue séchée
what do you regret most	que est ce que tu regrettes le plus
i made it myself	je l ai fait moi même
why should i pay that much	pourquoi devrais je payer autant
i am going to go buy a ticket so please watch my bags for a minute	je vais acheter un ticket alors s il vous plaît surveillez mes sacs une minute
i think we can handle it	je pense que nous pouvons y faire face
a rose has thorns on its stem	une rose a des épines sur sa tige
you are twisting my words	vous déformez mes paroles
we missed the deadline	nous avons raté la date limite
the new harry potter movie is pretty lame	le nouveau film sur harry potter est assez mauvais
you will have to stand on your toes to see	il te faudra te tenir sur le bout des pieds afin de voir
he was a fresh face in american politics	c était un nouveau visage de la politique américaine
what you need is a friend	ce qu il te faut ce est une amie
i know your older brother quite well	je connais assez bien ton frère aîné
i was upstairs	j étais là haut
how many days does it usually take to get there	combien de jours faut il pour y aller d habitude
it is a pleasure to meet you	ce est un plaisir de te rencontrer
i must run	je dois courir
we know each other quite well	on se connaît assez bien
who invited you guys	qui vous a invités les gars
tom could not contain his anger	tom n a pas pu contenir sa colère
you should not sleep	tu ne devrais pas dormir
it seems that they took the wrong train	il semblerait qu elles aient pris le mauvais train
the campers were hard up for water because their well had run dry	les campeurs étaient à court d eau parce que leur puits s était asséché
are you seriously thinking about getting married again at your age	penses tu sérieusement à te remarier à ton âge
how much is one beer	ce est combien une bière
does it snow a lot in the winter	neige t il beaucoup en hiver
we will soon be together	nous serons bientôt ensemble
he wants to be different	il veut être différent
i have something of yours	je ai quelque chose à vous
i never thought that would happen	je n ai jamais pensé que ça aurait lieu
whatever happened to your pride	que est il advenu de ta fierté
i cannot quite place his accent	je n arrive pas à localiser son accent
i have not been back here since that unfortunate incident	je ne suis plus revenu ici depuis ce malheureux incident
i asked him if he was busy	je lui ai demandé s il était occupé
i do not think you have much choice	je ne pense pas que vous ayez vraiment le choix
i cannot believe you fell for that	je n arrive pas à croire que vous soyez tombé dans le panneau
let us handle this one problem at a time	traitons ceci un problème à la fois
where are the shoes	où sont les chaussures
what would you like to do tomorrow	qu aimeriez vous faire demain
is this made in switzerland	c est produit en suisse
you are twice as strong as me	tu es deux fois plus forte que moi
i went too	j y suis également allé
the curse was broken	la malédiction a été brisée
he turned the corner	il a tourné au coin
it may be the last time	ce est peut être la dernière fois
we ordered pink but we received blue	nous en avons commandé un rose mais nous avons reçu un bleu
i was asked to fix the bicycle	on m a demandé de réparer le vélo
remain seated please	restez assises je vous prie
i find learning languages to be very rewarding	je trouve très gratifiant d apprendre des langues étrangères
i do not have any nice clothes	je n ai aucun beau vêtement
you will be all right	ça va très bien aller pour vous
this is a funny sentence	ce est une phrase étrange
can you read what s written on the blackboard	pouvez vous lire ce qui est écrit au tableau
he is an author	il est auteur
i quit smoking three years ago	je ai arrêté de fumer il y a trois ans
this is the most interesting book i have ever read	ce est le livre le plus intéressant que j aie jamais lu
i am going to fix some dinner	je vais préparer à déjeuner
she is well known both in japan and in america	elle est très connue à la fois au japon et en amérique
i want to be with tom	je veux être avec tom
how high is mt fuji	quelle hauteur a le mont fuji
quit wasting my time	arrêtez de me faire perdre mon temps
he was drunk and angry	il était soûl et en colère
if you want quality pay for it	si vous voulez de la qualité payez la
every time i see you i think of your mother	à chaque fois que je te vois je pense à ta mère
would you like to play with us	voudrais tu jouer avec nous
people cannot live forever	les gens ne peuvent pas vivre éternellement
i am looking for a job sir	je recherche un emploi monsieur
i will get it	je vais aller le chercher
do not worry about making mistakes	ne craignez pas de faire des erreurs
two weeks have passed and i have not seen you	deux semaines sont passées et je ne t ai pas vue
a red light was glowing in the dark	une lumière rouge luisait dans l obscurité
you should take a vacation	tu devrais prendre des vacances
i cannot follow you	je ne peux pas te suivre
it was a mess	c était la pagaille
that might be possible	il se pourrait que ce soit possible
you are staying with tom right	vous restez avec tom ne est ce pas
she spent a lot of time writing her essay	elle passa beaucoup de temps à écrire sa dissertation
let us get it over with	finissons en
this is surprising	ce est surprenant
i can ride a bicycle	je sais monter à vélo
we are faced with a host of problems	nous sommes confrontés à une multitude de problèmes
forget him	oublie le
he believes that he can prove it	il croit pouvoir le prouver
when you think about it that does not make a whole lot of sense	lorsqu on y pense ça n a pas beaucoup de sens
would you mind coming earlier next time	est ce que cela vous dérangerait de venir plus tôt la prochaine fois
my parents know about it	mes parents le savent
she sued him	elle lui fit un procès
this is pretty	ce est joli
i d accept	j accepterais
will you join us	vous joindrez vous à nous
quit behaving like a kid	arrêtez de vous conduire comme une enfant
the bar was so smoky that my eyes started to sting	le café était tellement enfumé que mes yeux commençaient à piquer
he is an aristocrat	il est aristocrate
stop being so nice to me	cesse d être aussi gentil avec moi
i see they have put you to work	je vois qu elles vous ont mise au travail
tom is not the only one here who s a good singer	tom ne est pas le seul ici à bien chanter
tom used to be in a relationship with mary	tom entretenait une relation avec mary
i used to weigh seventy kilos	je pesais septante kilos
among the guests were the mayor and his wife	parmi les invités il y avait le maire et sa femme
the decision is not easy	la décision ne est pas aisée
i am going to hurt you	je vais te blesser
how long have you been in this town	combien de temps es tu resté dans cette ville
we are under attack	nous sommes attaqués
i love hard boiled eggs	j adore les œufs durs
why did they hire you	pourquoi vous ont elles recrutées
he slept soundly	il dormait profondément
could you put this bag somewhere else	pourrais tu mettre ce sac ailleurs
better to extend an olive branch than launch a missile	mieux vaut tendre une branche d olivier que de lancer un missile
it will not take so long	ça ne prendra pas tellement de temps
i want to emphasize this point in particular	je veux insister sur ce point en particulier
you should be more reasonable	tu devrais être plus raisonnable
this is where the fun begins	ce est là qu on commence à s amuser
i suppose it is possible	je suppose que ce est possible
that might not be so bad	il se pourrait que ce ne soit pas si mauvais
tom flirted with the waitress	tom a flirté avec la serveuse
i called you	je t ai appelée
you are the first person i told that to	vous êtes la première personne à laquelle je ai dit ça
i am not feeling well	je ne me sens pas bien
which floor do you live on	à quel étage habitez vous
i used to be like you	j étais comme vous
i mean it	je suis sérieux
frankly speaking his speeches are always dull	honnêtement ses discours sont toujours ennuyeux
they are cold	ils sont froids
i want a money back guarantee	je veux une garantie de remboursement
it is inadequate	ce est inadapté
he danced all night long	il a dansé toute la nuit
do not listen to her	ne l écoute pas
i thought you might be upset	je pensais que tu pourrais être contrarié
i bet he does not make it	je parie qu il ne s en est pas sorti
who wants tea	qui veut du thé
she became a doctor	elle est devenue médecin
tom scored a goal	tom a marqué un but
do not talk to him while he is studying	ne lui parlez pas tandis qu il étudie
stop grumbling	arrête de râler
sometimes i go sometimes i do not	parfois je vais parfois non
you told us she was kind and she really is	vous nous avez dit qu elle était gentille et elle le est vraiment
did you stop tom	as tu arrêté tom
the teacher told them not to swim in the river	l instituteur leur dit de ne pas nager dans la rivière
i d like to go too	j aimerais également m y rendre
i am not chicken	je n ai pas les foies
i want to dedicate this song to him	je veux lui dédier cette chanson
prince william is second in line to the english throne	le prince guillaume est le second en ligne de succession au trône d angleterre
this is between you and me	ce est entre vous et moi
you are very emotional	tu es fort émotif
all things must pass	toutes les choses doivent passer
i do not know if i have ever told you but you have beautiful eyes	je ne sais pas si je vous l ai jamais dit mais vous avez de beaux yeux
it took us half an hour to set up the tent	il nous a fallu une demi heure pour monter la tente
tom got his head bashed in	tom s est fait décapiter
do you know what color she likes	sais tu quelle couleur elle aime
i look forward to reading your new novel	je me réjouis par avance de lire votre nouveau roman
i do not like learning irregular verbs	je n aime pas apprendre les verbes irréguliers
we lost	nous avons perdu
what time are you going on duty	à quelle heure prenez vous votre service
that s not funny at all anymore	ce ne est plus du tout marrant
she passed the examination	elle réussit l examen
tom does love you	tom t aime vraiment
tom was not serious was he	tom n était pas sérieux ne est ce pas
i think this is a bad idea	je pense que ce est une mauvaise idée
you are forgiven	vous êtes pardonnés
why do you want to study abroad	pourquoi voulez vous étudier à l étranger
heads i win tails you lose	pile je gagne face tu perds
it looks like you had a tough day	on dirait que tu as eu une journée difficile
we are not going out	nous n allons pas sortir
tom could sense something	tom pouvait sentir quelque chose
how is it possible	comment cela se peut il
she thanked him for his help	elle l a remercié pour son assistance
can i say it aloud	puis je le dire tout haut
do you have anything to eat in your pack	as tu quoi que ce soit à manger dans ton sac
you should know better than to talk back to your boss	vous devriez savoir qu on ne répond pas à son employeur
you do not care about me	tu ne me prêtes pas attention
i want everybody to go home	je veux que chacun rentre chez lui
i decided not to eat	je ai décidé de ne pas manger
do you want me to leave	voulez vous que je parte
they let me go	ils me laissèrent partir
did not you write a letter to him	ne lui avez vous pas écrit une lettre
i will help you after work if i am not too tired	je t aiderai après le travail si je ne suis pas trop fatigué
what s wrong with parading around your own house naked	quel est le problème de parader nu autour de sa maison
i am allowed to swim in the river	je peux nager dans la rivière
i did not think you were needed	je ne pensais pas qu on avait besoin de toi
it is an extreme case	ce est un cas extrême
i have lived in tokyo since	je vis à tôkyô depuis
i called earlier	je ai appelé plus tôt
do you want to get us both killed	veux tu que nous nous fassions tuer toutes les deux
let me explain	laissez moi expliquer
i do not believe it happened that way	je ne crois pas que ça ait eu lieu de cette manière
try to be more punctual from now on	essayez d être plus ponctuels désormais
oh do not be so modest	oh ne soyez pas si modestes
are you seeing anyone	vois tu qui que ce soit
i think you did it	je pense que ce est vous qui l avez fait
how did you get to know him	comment l avez vous connu
is that all you have got to say	est ce là tout ce que tu as à dire
he was absolved of all responsibility	il fut absout de toute responsabilité
put it back where you found it	remets le où tu l as trouvé
i cannot remember the last time i have seen you so excited about something	je ne parviens pas à me rappeler la dernière fois que je vous ai vues aussi excitées à propos de quelque chose
nobody s going to hire you	personne ne va t employer
are you sure you want to leave now	êtes vous sûres de vouloir partir maintenant
i will come back home as soon as i can	je reviendrai aussitôt que je peux
tom said you told him to wait	tom a dit que tu lui avais dit d attendre
i finally have time to reply to the mail that i have received these past three weeks	je dispose enfin du temps pour répondre à la correspondance que je ai reçue ces trois dernières semaines
i think you d better take an umbrella in case it rains	je pense que tu ferais mieux de prendre un parapluie au cas où il pleuvrait
they say he is sick	ils disent qu il est malade
we acted in good faith	nous avons agi de bonne foi
this makes no sense	cela n a aucun sens
i did not think you d show up	je ne pensais pas que vous vous montreriez
do not approach the dog	n approchez pas du chien
he cut down a cherry tree	il a coupé un cerisier
i made a judgment call	je ai prononcé une décision
i do not wish to anger you	je ne souhaite pas te mettre en colère
tom did not trust mary	tom n a pas fait confiance à mary
can anything else be done	quelque chose d autre peut il être fait
they were mostly women	c était principalement des femmes
that would be nice if it were true	ça serait bien si c était vrai
do not look so shocked	n ayez pas l air si choqués
he is sensitive to criticism	il est sensible à la critique
do not move or i will shoot	ne bougez pas ou je tire
i have not seen you in ages	je ne vous ai pas vue depuis des lustres
there will be an energy crisis in the near future	il y aura une crise énergétique dans l avenir proche
the police recovered the stolen money	la police a récupéré l argent volé
excuse me is this seat taken	excusez moi cette place est elle prise
i am sure this is just a misunderstanding	je suis convaincu qu il s agit d un malentendu
i have to wear boots	il faut que je porte des bottes
what time did you go to bed yesterday	à quelle heure vous êtes vous couchés hier
she is worried about your safety	elle est inquiète pour ta sécurité
i feel sorry for you	je me sens désolé pour toi
we ran out of money	nous nous sommes trouvés à court d argent
he is very brave	il est très courageux
i want to learn karate	je veux apprendre le karaté
you could have been happy	vous auriez pu être heureux
he belongs to our tennis team	il fait partie de notre équipe de tennis
cannot you guess what i am doing	tu ne devines pas ce que je fais
this clock is electric	cette montre est électrique
that s stupid	ce est con
he likes me	il m apprécie
we have something else in common	nous avons quelque chose d autre en commun
do not let go hold on tight	ne lâchez pas tenez bon
where do they come from	d où viennent elles
i had a crush on you when we were in high school	j étais entichée de toi lorsque nous étions au lycée
i despise tom	je méprise tom
there is no need for you to stay here	tu n es pas obligé de rester ici
reflect on what you have done	réfléchis à ce que tu as fait
i knew you would do something great	je savais que tu ferais merveille
this photo is too blurry i cannot make out your face	cette photo est trop floue je n arrive pas à distinguer ton visage
an image is worth a thousand words	une illustration vaut mille mots
you will forget about me someday	tu m oublieras un jour
do not pick it up	ne le ramasse pas
it is a chinese company	ce est une société chinoise
we took turns driving	nous nous sommes relayés pour conduire
i do not think i can do it	je ne pense pas parvenir à le faire
why would somebody want to live there	pourquoi quelqu un voudrait il y vivre
she has small feet	elle a de petits pieds
the plane was delayed on account of bad weather	l avion a été retardé à cause du mauvais temps
who are you to judge	qui êtes vous pour juger
she seems to be very ill	elle semble être vraiment malade
what person does everyone take off his hat to	pour quelle personne tout le monde tire t il son chapeau
i got busy	je suis devenu occupé
ain t that cute	ne est ce pas mignon
i think i will always love you	je pense que je t aimerai toujours
pardon me	je vous demande pardon
i have only had two boyfriends oh i have two boyfriends right now	je n ai eu que deux petits copains oh j en ai deux en ce moment
she got to the hotel late at night	elle arriva tard dans la nuit à l hôtel
i think you lied to me	je pense que vous m avez menti
if you want something done right you have to do it yourself	si vous voulez que quelque chose soit fait correctement vous devez le faire vous même
she hit him with a hammer	elle le frappa à l aide d un marteau
i have to do it by myself	je dois le faire par moi même
i told you to stay away from my daughter	je t ai dit de te tenir à l écart de ma fille
she looks like her aunt	elle ressemble à sa tante
you do not know what you are talking about	vous ne savez pas de quoi vous parlez
my legs hurt because i walked a lot today	mes jambes me font mal parce que je ai beaucoup marché aujourd hui
she did not want him to stay any longer	elle ne voulait pas qu il restât plus longtemps
how do you define success	comment définissez vous le succès
there are only five minutes left till the train leaves and she has not appeared	il ne reste que cinq minutes avant que le train ne parte et elle ne s est pas montrée
we are going to be working late	nous allons travailler tard
we are going shopping	nous allons faire des courses
what a beautiful scene	quel beau tableau
wake me up at seven	réveille moi à sept heures
i guess i was mistaken	je suppose que je ai confondu
even with all his wealth and fame he is unhappy	même avec toute sa richesse et sa célébrité il est malheureux
you must not behave like this	tu ne dois pas te conduire ainsi
tom seems to be in love	tom semble être tombé amoureux
are you looking for somebody	cherchez vous quelqu un
when did you come	quand êtes vous venus
i cannot believe it either	je n arrive pas à y croire non plus
somebody told me that i should not trust you	quelqu un m a dit que je ne devrais pas me fier à toi
this cloth feels like velvet	cette étoffe fait au toucher l effet du velours
you cannot prove a thing	tu ne peux rien prouver
she is as good a cook as her mother	elle cuisine aussi bien que sa mère
i like things just the way they are	j aime les choses exactement telles qu elles sont
i will let you know	je vous le ferai savoir
finally i found a job	je ai enfin trouvé du travail
she is watering the flowers	elle est en train d arroser les fleurs
i think it is dangerous	je pense que ce est dangereux
you taught us that	tu nous l a enseigné
you cannot kill us all	tu ne peux pas tous nous tuer
i know that the last thing you want to do is help me	je sais que la dernière chose que vous veuillez faire est de m aider
it is still mine	ce est néanmoins le mien
she taught me so many interesting things	elle m a appris tant de choses intéressantes
should not you go home	ne devrais tu pas aller chez toi
the prevention of forest fires is everyone s responsibility	la prévention des feux de forêt relève de la responsabilité de chacun
i will have to work hard	je vais devoir travailler dur
the box is made of wood	la boîte est en bois
i am intrigued	je suis intrigué
i did not receive even one letter from her	je ne reçus pas même une lettre d elle
i do not want to eat lunch now	je ne veux pas déjeuner maintenant
listen to me please	écoutez moi s il vous plaît
the wind blew all day	le vent souffla tout le jour
how much did you pay for the dress	combien avez vous payé pour la robe
his way of thinking is very childish	ses pensées sont vraiment puériles
you are bright	vous êtes brillantes
i do not feel like waiting any longer	je ne suis pas d humeur à attendre plus longtemps
how is your dad	comment va votre papa
